1,53
2,32
3,1
4,44
5,53
6,72
7,69
8,68
9,39
10,45
11,33
12,20
13,1
14,82
15,47
16,98
17,56
18,7
19,84
20,54
21,7
22,92
23,89
24,20
25,39
26,14
27,19
28,32
29,54
30,75
31,53
32,72
33,83
34,11
35,67
36,39
37,80
38,42
39,83
40,78
41,52
42,12
43,74
44,81
45,69
46,22
47,97
48,1
49,95
50,20
51,33
52,3
53,45
54,14
55,18
56,69
57,81
58,35
59,56
60,44
61,82
62,61
63,100
64,15
65,27
66,40
67,31
68,53
69,31
70,68
71,89
72,83
73,27
74,44
75,61
76,12
77,38
78,42
79,83
80,99
81,70
82,23
83,48
84,68
85,55
86,22
87,48
88,39
89,18
90,62
91,35
92,37
93,82
94,78
95,50
96,53
97,91
98,43
99,23
100,68
101,11
102,53
103,27
104,52
105,44
106,71
107,31
108,58
109,74
110,53
111,47
112,15
113,68
114,61
115,57
116,52
117,43
118,70
119,91
120,55
121,53
122,81
123,43
124,44
125,57
126,6
127,56
128,38
129,95
130,53
131,12
132,15
133,11
134,68
135,89
136,44
137,98
138,35
139,11
140,75
141,62
142,39
143,5
144,45
145,55
146,35
147,32
148,53
149,63
150,58
151,69
152,18
153,62
154,53
155,45
156,39
157,14
158,68
159,90
160,81
161,20
162,97
163,90
164,50
165,63
166,3
167,45
168,70
169,56
170,57
171,67
172,41
173,56
174,70
175,79
176,53
177,53
178,6
179,42
180,48
181,78
182,52
183,31
184,50
185,62
186,80
187,12
188,39
189,39
190,68
191,67
192,35
193,74
194,31
195,78
196,67
197,19
198,87
199,57
200,99
201,13
202,89
203,47
204,92
205,52
206,42
207,57
208,14
209,39
210,39
211,70
212,47
213,68
214,80
215,29
216,17
217,68
218,86
219,90
220,86
221,70
222,53
223,68
224,20
225,26
226,43
227,11
228,75
229,54
230,43
231,15
232,46
233,28
234,36
235,85
236,82
237,25
238,19
239,82
240,17
241,83
242,90
243,32
244,44
245,19
246,33
247,74
248,56
249,4
250,53
251,49
252,80
253,93
254,13
255,67
256,78
257,71
258,18
259,53
260,88
261,91
262,64
263,53
264,86
265,27
266,42
267,63
268,92
269,84
270,58
271,43
272,15
273,63
274,44
275,81
276,58
277,24
278,48
279,3
280,35
281,4
282,43
283,63
284,89
285,58
286,79
287,86
288,22
289,27
290,23
291,18
292,52
293,93
294,22
295,12
296,67
297,50
298,39
299,9
300,97
301,53
302,45
303,1
304,23
305,36
306,41
307,6
308,89
309,73
310,72
311,39
312,74
313,7
314,12
315,68
316,61
317,78
318,81
319,36
320,71
321,46
322,46
323,38
324,10
325,12
326,2
327,66
328,70
329,78
330,91
331,15
332,45
333,15
334,68
335,52
336,43
337,7
338,53
339,11
340,33
341,16
342,95
343,48
344,10
345,23
346,39
347,11
348,68
349,61
350,75
351,91
352,37
353,76
354,100
355,65
356,47
357,3
358,57
359,58
360,38
361,42
362,15
363,23
364,44
365,70
366,44
367,10
368,93
369,15
370,14
371,45
372,72
373,72
374,83
375,89
376,18
377,67
378,25
379,42
380,43
381,45
382,84
383,35
384,74
385,80
386,92
387,88
388,19
389,99
390,31
391,36
392,45
393,57
394,46
395,10
396,66
397,35
398,35
399,14
400,39
401,18
402,62
403,56
404,43
405,62
406,56
407,56
408,18
409,39
410,5
411,66
412,89
413,67
414,32
415,67
416,86
417,81
418,87
419,89
420,35
421,76
422,31
423,29
424,57
425,78
426,38
427,47
428,3
429,43
430,67
431,12
432,62
433,49
434,17
435,41
436,53
437,33
438,39
439,3
440,39
441,10
442,53
443,68
444,53
445,50
446,10
447,49
448,3
449,53
450,41
451,98
452,17
453,44
454,2
455,87
456,15
457,57
458,67
459,43
460,12
461,53
462,52
463,3
464,62
465,3
466,44
467,80
468,7
469,53
470,63
471,55
472,53
473,61
474,84
475,16
476,21
477,43
478,52
479,6
480,89
481,49
482,53
483,45
484,56
485,13
486,70
487,31
488,66
489,57
490,19
491,38
492,57
493,39
494,45
495,53
496,79
497,22
498,12
499,39
500,52
501,51
502,51
503,51
504,51
505,51
506,51
507,51
508,51
509,51
510,51
511,51
512,51
513,51
514,51
515,51
516,51
517,51
518,51
519,51
520,51
521,51
522,51
523,51
524,51
525,51
526,51
527,51
528,51
529,51
